Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 40;Caldwell 2 - H400 1 - PK 120+09.01;00h13m01s;72d31m20s;Cepheus;Planetary nebula;10.7;13.7;0.8'x0.8';;7;-;-;XS(101/22);
NGC 129;H400 2 - OCL 294 - Cr 2;00h30m00s;60d13m06s;Cassiopeia;Open cluster;6.5;12.9;21.0'x21.0';;15;-;-;XS(90/9);
NGC 136;H400 3 - OCL 295 - Cr 4;00h31m31s;61d30m33s;Cassiopeia;Open cluster;11.5;11.6;1.2'x1.2';;15;-;-;XS(53/7);
NGC 157;H400 4 - MCG -02-02-056;00h34m46s;-08d23m48s;Cetus;Galaxy;10.2;12.6;4.1'x2.7';40;75;-;-;XS(40/6);
NGC 185;Caldwell 18 - H400 5 - UGC 396;00h38m58s;48d20m12s;Cassiopeia;Galaxy;9.3;14.3;12.5'x10.4';35;27;-;-;XS(121/20);
M 110;H400 6 - NGC 205;00h40m22s;41d41m05s;Andromeda;Galaxy;7.9;13.5;19.5'x11.5';170;27;-;-;XS(293/18);
NGC 225;H400 7 - OCL 305 - Sailboat Cluster - Cr 7;00h43m36s;61d46m00s;Cassiopeia;Open cluster;7.0;12.1;12.0'x12.0';;15;-;-;XS(79/8);
NGC 246;Caldwell 56 - H400 8 - PK 118-74.01;00h47m04s;-11d52m22s;Cetus;Planetary nebula;10.3;13.1;4.1'x4.1';;75;-;-;XS(80/10);
NGC 247;Caldwell 62 - H400 9 - ESO 540-22;00h47m08s;-20d45m38s;Cetus;Galaxy;8.9;13.8;21.0'x5.6';174;75;-;-;XS(57/7);
NGC 253;Caldwell 65 - H400 10 - ESO 474-29 - Sculptor Galaxy - Silver Coin Galaxy;00h47m33s;-25d17m17s;Sculptor;Galaxy;7.2;12.4;26.4'x6.0';52;87;-;-;XS(89/14);
NGC 278;H400 11 - UGC 528;00h52m05s;47d33m01s;Cassiopeia;Galaxy;10.7;12.3;2.4'x2.4';;27;-;-;XS(82/15);
NGC 288;H400 12 - ESO 474-SC37 - Mel 3;00h52m46s;-26d35m12s;Sculptor;Globular cluster;8.1;13.3;12.4'x12.4';;87;-;-;XS(57/7);
NGC 381;H400 13 - OCL 317 - Cr 10;01h08m24s;61d34m54s;Cassiopeia;Open cluster;9.3;12.9;6.0'x6.0';;15;-;-;XS(64/6);
NGC 404;H400 14 - UGC 718 - Mirach's Ghost;01h09m27s;35d43m04s;Andromeda;Galaxy;10.0;12.8;4.3'x3.9';;39;-;-;XS(130/17);
NGC 436;H400 15 - OCL 320 - Mel 6 - Cr 11;01h15m58s;58d49m02s;Cassiopeia;Open cluster;8.8;12.4;6.0'x6.0';;15;-;-;XS(73/8);
NGC 457;Caldwell 13 - H400 16 - OCL 321 - Dragonfly Cluster - ET Cluster - Owl Cluster - Phi Cassiopeiae Cluster - Mel 7 - Cr 12;01h19m33s;58d17m27s;Cassiopeia;Open cluster;6.4;11.7;13.0'x13.0';;15;-;-;XS(179/24);
NGC 488;H400 17 - UGC 907;01h21m47s;05d15m19s;Pisces;Galaxy;10.4;13.5;5.4'x3.9';15;63;-;-;XS(40/8);
NGC 524;H400 18 - UGC 968;01h24m48s;09d32m17s;Pisces;Galaxy;10.3;12.6;3.2'x3.2';;51;-;-;XS(41/6);
NGC 559;Caldwell 8 - H400 19 - OCL 322 - Cr 13;01h29m31s;63d18m41s;Cassiopeia;Open cluster;9.5;12.5;4.4'x4.4';;15;-;-;XS(54/7);
NGC 584;H400 20 - IC 1712;01h31m20s;-06d52m04s;Cetus;Galaxy;10.4;12.0;2.8'x1.9';61;63;-;-;XS(38/6);
NGC 596;H400 21 - MCG -01-05-005;01h32m52s;-07d01m57s;Cetus;Galaxy;10.8;12.5;2.8'x2.1';40;75;-;-;XS(32/4);
