 1 V/53    Ochsenbein F., Halbwachs J.L., Catalogue of the Brightest Stars, 1987
 2 V/50    Hoffleit D., Warren Jr. W.H., The Bright Star Catalogue, 5th Revised Ed. (BSC5), 1991
 3 I/238   van Altena W.F., Lee J.T., Hoffleit E.D., The General Catalogue of Trigonometric Stellar Parallaxes, 4th ed., 1995
 4 III/63B Vesugi A., Fukuda I., Revised Catalogue of Stellar Rotational Velocities, 1981
 5 III/4   Abt H.A., Biggs E.S., Biblography of stellar radial velocities, 1972
 6 II/83   Code A.D., Holm A.V., Bottemiller R.L., OAO2 Filter photometry of 531 stars of diverse types, 1980
 7 III/118 Barbier-Brossat M., Petit M., Catalogue bibliographique de vitesses radiales stellaires, 1986
 8 III/149 Garcia B., A list of MK standard stars, 1989
 9 III/150 Keenan P.C., McNeil R.C., The Perkins Catalog of Revised MK types for the cooler stars, 1989
10 II/134  Didelin P., Catalog of magnitic field measurements, 1983
11 III/152 Catalano F.A., Renson P., Catalogue of observed periods of Ap stars, 1984
12 III/162 Renson P., Gerbaldi M., Catalano F.A., General Catalogue of Ap and Am stars, 1991
13 III/163 Hauck B., Fourth Catalog of Am Stars with Known Spectral Types, 1992
14 IV/16   Pedoussaut A., Capdeville A., Ginestet N., Carquillat J.M., Liste des Binaires Spectroscopiques du fichier general de Toulouse, 1985
15 IV/22   Smith W.B., FK5-SAO-HD-Common Name Cross Index, 1996
16 II/140  Kukarkin B.V. et al., New Catalogue of Suspected Variable Stars (NSV), 1982
17         Antonin Becvar, Atlas CoeliII- Katalog 1950.0, Praha, 1964
18 III/135 Cannon A.J., Pickering E.C., The Henry Draper Catalogue (ed. 1989), 1918-1924
19 I/196   Turon C. et al., Hipparcos Input Catalogue, Version 2, 1993
20 II/214  Kholopov P.N. et al., General Catalogue of Variable Stars, Vol.I-IV (GCVS), 1985-1995
21         Mikhajlov A.A., Atlas zvezdnogo neba, "Nauka", Leningrad, 1974
22 IV/9    Ochsenbein F., Bischoff M., Egret D., Catalogue of Stellar Identifications, edition 1979 (CSI), 1981
23         Kulikovskij P.G., Spravochnik lyubitelya astronomii, Moskva, 1961, 1971, 2002
24         Rak I.V., Kholshevnikov K.V., Atlas Zvezdnogo neba, Sankt-Peterburg, "Neva", 1995
25 V/36B   Hoffleit D., Saladyga M., Wlasik P., Supplement to the Bright Star Catalogue (BSC4s), 1983
26 I/113   Boss B., General Catalogue of 33342 stars (version 1985), 1937
