 55       Cas  55       Cas   13474        2, 4, 5,15,16,17,19           13475       16            
 52 f     Per  52       Per   26673        1, 2, 3, 4, 5,10,14           26674        4,14         
 53       Tau  53       Tau   27295        2, 4, 5,11,12,14,17,19        23193       10            
 58 e     Per  58       Per   29094        1, 2, 3, 4, 5,14,19           29095        4,14         
  1       Aur   1       Aur   30504        2, 4,17,19                    30870        2            
  1       Lep   1       Lep  BD-22  1960   2,18                         CD-22  1960  19            
  8 zet   Aur   8 zet   Aur   32068        1, 2, 4,17,19,23              32069        4            
  8 zet   Aur     zet   Aur   32068        3, 5, 7,14,15,20              32069       14,20         
 19       Cam  19       Cam   36570        2, 3, 4, 5,17,19              33564        3            
 41 the01 Ori  41 the01 Ori   37020        2, 4,19                       37022        2, 4,17,19,20
 41 the01 Ori     the01 Ori   37020        3, 5,14                       37022        3, 5         
 41 the01 Ori     the   Ori   37020        6                             37042        6            
 30 ksi   Aur  32       Cam   39283        2                            112014        2            
 30 ksi   Aur  32       Cam   39283        2                            112028        2            
 54 chi01 Ori  54       Ori   39587       19                             39417        5            
 35       Cam  35       Cam   40873        5,12,16                       21291       16            
 13       Mon  13       Mon   46300        1, 2, 3, 4, 5, 8,10,15,17,19  47129       10            
    Y     Pup     Y     Pup   47973        2,17                         CD-34  4482  20            
    X     Pup     X     Pup   50223        2                             60266        5,19,20      
    z     Pup     z     Pup   60606        4,17,19                       46273       17            
    W     Pup     W     Pup   62713        2,17                          63218        5,19,20      
    V     Pup     V     Pup   65818        5,14,17,19,20                 47973        2            
 16 zet01 Cnc  16 zet01 Cnc   68257        2, 4,17,19                    68255        4            
 16 zet01 Cnc     zet01 Cnc   68257        3, 5                          68255        3, 5         
    eps   Car     eps   Car   71129        1, 2, 5,15,16,17,19,23        71130       16            
 45 A01   Cnc  45       Cnc   74228        2, 4, 5,14,19                 74229       14            
    z     Vel     z     Vel   79735        4,17,19                       93563       17            
 27 P     Hya  27       Hya   80586        1, 2, 3, 5,19                 80550        3            
 33 A     Hya     A     Hya   82870        2                             81809        2            
 33 A     Hya     A     Hya   82870        2                             81420        2            
 29 del   Sex  29 del   Sex  BD-02  3155   2,22                         BD-01  2395  19            
    Y     Vel     Y     Vel   91324        2,17                         CD-51  3858  19,20         
    t01   Car     t01   Car   92063       19                             92436       17            
    p     Vel     p     Vel   92139        5,12,14,17,19                 92140       14            
  3       CVn   3       CVn  107274        2, 5,15,17,19                107325       16            
    J     Cen     J     Cen  CD-60  4640  18                            CP-60  4627   2,15,19      
    gam   Cir     gam   Cir  136415        1, 2, 4, 5,17,19,23          136416        4            
 34       Lib  34       Lib  138137        5,19                         138268       17            
 12       Oph  12       Oph  BD-02  4211   2,15,18                      BD-01  3220   5,19         
 47       Oph  47       Oph  157950       17                            157968        2            
 46 ups   Sgr  46 ups   Sgr  181615        1, 2, 4,17,19,20             181616        4,20         
 46 ups   Sgr     nu.   Sgr  181615       14                            181616       14            
  6 bet01 Cyg   6 bet01 Cyg  183912        1, 2, 4,16,19,23             183913       16            
  9       Cyg   9       Cyg  184759        2, 4, 5, 7,14,17,19          184760        3, 4         
 31 omi01 Cyg  31       Cyg  192578        6                            192579       16            
 32 omi02 Cyg  32 omi02 Cyg  192909        4,17,19,23                   192910        4            
 32 omi02 Cyg  32       Cyg  192909        1, 2, 3, 6, 7,14             192910        6,14         
  9 bet   Cap   9 bet   Cap  193495        1, 2, 4,17,19,23             193496        4            
  9 bet   Cap     bet   Cap  193495        5, 7,14,15                   193496       14            
  8 alf   Equ   8 alf   Equ  202447        1, 2, 4,17,19,23             202448        4            
  8 alf   Equ     alf   Equ  202447        3, 5, 7,10,14,15             202448       14            
 34 zet   Cap  34 zet   Cap  CD-22 15388  18,19                         BD-22 15388   2            
    lam   Oct     lam   Oct  206240        2, 5,13,17,19                206241       12            
  5       Lac   5       Lac  213310        1, 2, 3, 4, 5,14,16,17,19,23 213311       14,16         
 89 c03   Aqr  89       Aqr  218640        1, 2, 5,19                   218641        3            
 34 omi   Cep  34       Cep  219916       19                            216446        3            
 17 iot   And  17       And  222173       19                              3883       10            
    the   Phe     the   Phe  222287        2,19                         222095        2            
